Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Afghanistan,"AFG","Multidimensional poverty headcount ratio (UNDP & OPHI) (% of population)","SI.POV.MPUN","2018","YR2018","NA"
Afghanistan,"AFG","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","2018","YR2018","NA"
Afghanistan,"AFG","Poverty gap at $8.30 a day (2021 PPP) (%)","SI.POV.UMIC.GP","2018","YR2018","NA"
Afghanistan,"AFG","Proportion of population pushed into poverty (based on the societal poverty line) due to out-of-pocket health expenditure (%)","SH_UHC_FH40_PUSHED","2018","YR2018","NA"
Afghanistan,"AFG","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","SE.LPV.PRIM","2018","YR2018","NA"
Afghanistan,"AFG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","2018","YR2018","21.7827865"
Afghanistan,"AFG","Government Effectiveness - Governance score (0-100)","GOV_WGI_GE_SC","2018","YR2018","19.6224247"
Afghanistan,"AFG","Rule of Law - Governance score (0-100)","GOV_WGI_RL_SC","2018","YR2018","28.27664"
Afghanistan,"AFG","CPIA social protection rating (1=low to 6=high)","IQ.CPA.PROT.XQ","2018","YR2018","2.5"
Afghanistan,"AFG","CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","IQ.CPA.SOCI.XQ","2018","YR2018","2.6"
Afghanistan,"AFG","Control of Corruption - Governance score (0-100)","GOV_WGI_CC_SC","2018","YR2018","16.686024"
Afghanistan,"AFG","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","IQ.CPA.TRAN.XQ","2018","YR2018","2"
Afghanistan,"AFG","Net migration","SM.POP.NETM","2018","YR2018","-36753"
Afghanistan,"AFG","International migrant stock (% of population)","SM.POP.TOTL.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","2018","YR2018","2681267"
Afghanistan,"AFG","Forcibly displaced people","SM.POP.FDIP","2018","YR2018","2670509"
Afghanistan,"AFG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Social contributions (% of revenue)","GC.REV.SOCL.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","2018","YR2018","6.73324816708819"
Afghanistan,"AFG","Battle-related deaths (number of people)","VC.BTL.DETH","2018","YR2018","25676"
Afghanistan,"AFG","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","2018","YR2018","372000"
Afghanistan,"AFG","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","2018","YR2018","435000"
Afghanistan,"AFG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","2018","YR2018","3.72485527466578"
Afghanistan,"AFG","Children in employment, total (% of children ages 7-14)","SL.TLF.0714.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","2018","YR2018","82.31332217699"
Afghanistan,"AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","2018","YR2018","40.466"
Afghanistan,"AFG","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","2018","YR2018","43.6069134634231"
Afghanistan,"AFG","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","2018","YR2018","13031.1958220999"
Afghanistan,"AFG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","2018","YR2018","46.758"
Afghanistan,"AFG","Labor force with basic education (% of total working-age population with basic education)","SL.TLF.BASC.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","2018","YR2018","27.7497547989351"
Afghanistan,"AFG","Coverage of social protection and labor programs (% of population)","per_allsp.cov_pop_tot","2018","YR2018","NA"
Afghanistan,"AFG","Coverage of social safety net programs in poorest quintile (% of population)","per_sa_allsa.cov_q1_tot","2018","YR2018","NA"
Afghanistan,"AFG","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot","2018","YR2018","NA"
Afghanistan,"AFG","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)","per_allsp.ben_q1_tot","2018","YR2018","NA"
Afghanistan,"AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","2018","YR2018","11.192"
Afghanistan,"AFG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","2018","YR2018","16.402"
Afghanistan,"AFG","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","SL.UEM.NEET.ME.ZS","2018","YR2018","42.722"
Afghanistan,"AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","2018","YR2018","16.79999924"
Afghanistan,"AFG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","2018","YR2018","59.8109345283062"
